CRTR_YR|ADMDST_CLSF_CD|HOHL_SPIDN|SPIDN|LFNR_SE_CD|HOHL_REL_CD|SD_CD|AAGE|NTNLTY_CD|FMNM_ACHM_CD|HS_SHAPE_CD|BRTH_YR|ENTCNY_YR
2023|11140000|HS00000000|SP00000000|1|1|1|74|410|004|G2|1966|
2023|44130000|HS00000001|SP00000001|1|1|2|85|410|004|G1|1993|
2023|42110000|HS00000002|SP00000002|1|2|2|30|410|003|G2|1977|
2023|28110000|HS00000003|SP00000003|1|1|2|38|410|002|G3|1944|2010
2023|28110000|HS00000004|SP00000004|1|1|2|22|410|003|G2|1958|
2023|45110000|HS00000005|SP00000005|1|1|1|56|410|003|G1|1929|
2023|11140000|HS00000006|SP00000006|1|1|1|57|410|004|G2|1945|
2023|42110000|HS00000007|SP00000007|1|1|1|22|410|001|G4|1976|
2023|11200000|HS00000008|SP00000008|1|3|2|69|410|001|G2|1946|
2023|11140000|HS00000009|SP00000009|1|1|2|20|410|001|G2|1939|
2023|41110000|HS00000010|SP00000010|1|2|2|79|410|001|G1|1956|
2023|47110000|HS00000011|SP00000011|1|2|2|72|410|003|G2|1946|
2023|43110000|HS00000012|SP00000012|1|4|1|81|410|001|G3|1966|
2023|43110000|HS00000013|SP00000013|1|1|2|28|410|001|G3|1935|
2023|43110000|HS00000014|SP00000014|1|1|2|85|410|002|G2|1986|
2023|44130000|HS00000015|SP00000015|1|1|2|61|410|004|G3|1972|
2023|41110000|HS00000016|SP00000016|1|1|2|84|410|002|G2|1984|
2023|11170000|HS00000017|SP00000017|1|1|2|72|410|002|G3|1996|
2023|45110000|HS00000018|SP00000018|1|3|1|69|410|002|G1|1957|2010
2023|28110000|HS00000019|SP00000019|1|1|2|22|840|004|G2|1995|
2023|41110000|HS00000020|SP00000020|1|1|1|71|410|002|G3|1987|
2023|27110000|HS00000021|SP00000021|1|1|2|53|410|002|G3|1946|2000
2023|11200000|HS00000022|SP00000022|1|3|2|83|410|004|G3|1985|
2023|46110000|HS00000023|SP00000023|1|4|2|71|410|002|G2|1939|
2023|44130000|HS00000024|SP00000024|1|3|1|25|410|002|G3|2000|
2023|41150000|HS00000025|SP00000025|1|2|1|86|410|004|G2|1969|
2023|27110000|HS00000026|SP00000026|1|3|2|24|840|002|G2|1998|
2023|44130000|HS00000027|SP00000027|1|2|2|42|410|003|G2|1999|
2023|41130000|HS00000028|SP00000028|1|1|1|36|410|003|G2|1944|
2023|28110000|HS00000029|SP00000029|1|2|2|93|410|001|G2|1998|
2023|28110000|HS00000030|SP00000030|1|3|2|31|410|001|G3|1937|
2023|11200000|HS00000031|SP00000031|1|1|2|83|410|004|G2|1959|
2023|11140000|HS00000032|SP00000032|1|2|1|36|410|002|G1|1967|
2023|41130000|HS00000033|SP00000033|1|1|2|68|410|002|G2|1935|
2023|46110000|HS00000034|SP00000034|1|2|1|26|410|003|G3|1974|
2023|11140000|HS00000035|SP00000035|1|1|2|49|410|001|G1|1974|
2023|45110000|HS00000036|SP00000036|1|2|2|66|410|001|G3|1973|
2023|45110000|HS00000037|SP00000037|1|4|1|73|410|002|G1|1955|
2023|26110000|HS00000038|SP00000038|1|1|2|85|410|004|G2|1940|
2023|41150000|HS00000039|SP00000039|1|1|1|81|840|003|G3|1963|
2023|11170000|HS00000040|SP00000040|1|1|2|58|410|003|G2|1982|
2023|43110000|HS00000041|SP00000041|1|1|1|42|410|003|G3|1937|
2023|42110000|HS00000042|SP00000042|1|5|2|39|410|004|G1|1959|
2023|27110000|HS00000043|SP00000043|1|1|1|94|410|004|G2|1941|
2023|11140000|HS00000044|SP00000044|1|1|1|65|410|001|G2|1971|
2023|47110000|HS00000045|SP00000045|1|1|1|88|410|003|G3|1989|
2023|28110000|HS00000046|SP00000046|1|5|2|52|410|003|G1|1933|
2023|46110000|HS00000047|SP00000047|1|1|1|56|410|001|G2|1953|
2023|42110000|HS00000048|SP00000048|1|3|1|81|410|004|G2|1980|
2023|44130000|HS00000049|SP00000049|1|1|1|74|410|002|G4|1940|
2023|43110000|HS00000050|SP00000050|1|1|1|35|410|004|G3|2003|
2023|11200000|HS00000051|SP00000051|1|2|1|59|410|001|G3|1934|
2023|27110000|HS00000052|SP00000052|1|1|2|36|410|003|G2|1960|
2023|28110000|HS00000053|SP00000053|1|2|2|77|410|003|G2|1959|
2023|41110000|HS00000054|SP00000054|1|1|2|22|410|003|G3|2002|
2023|11110000|HS00000055|SP00000055|1|3|2|82|410|001|G3|1990|
2023|41130000|HS00000056|SP00000056|1|3|2|89|410|001|G3|1949|
2023|11170000|HS00000057|SP00000057|1|3|1|21|410|003|G3|1962|
2023|43110000|HS00000058|SP00000058|1|1|2|67|410|004|G3|1994|
2023|42110000|HS00000059|SP00000059|1|3|1|25|410|003|G1|1954|
2023|46110000|HS00000060|SP00000060|2|5|2|47|410|001|G2|1948|
2023|43110000|HS00000061|SP00000061|1|1|1|45|410|004|G4|1983|
2023|27110000|HS00000062|SP00000062|1|1|2|58|410|002|G2|1952|
2023|47110000|HS00000063|SP00000063|1|3|1|88|410|001|G1|1931|
2023|27110000|HS00000064|SP00000064|1|1|1|54|410|002|G2|1967|
2023|26140000|HS00000065|SP00000065|1|2|1|49|410|001|G2|1986|
2023|46110000|HS00000066|SP00000066|1|3|2|26|410|004|G3|1931|2020
2023|27110000|HS00000067|SP00000067|1|1|1|86|410|004|G3|1935|
2023|11140000|HS00000068|SP00000068|1|2|1|43|410|001|G1|1969|1990
2023|28110000|HS00000069|SP00000069|1|2|1|54|410|003|G2|1972|
2023|44130000|HS00000070|SP00000070|1|1|2|26|410|001|G1|1941|2010
2023|11200000|HS00000071|SP00000071|1|4|2|41|410|002|G3|2003|
2023|28110000|HS00000072|SP00000072|1|1|2|61|410|001|G1|1980|
2023|11170000|HS00000073|SP00000073|1|1|2|87|410|003|G2|1963|
2023|42110000|HS00000074|SP00000074|1|3|1|44|410|001|G2|1954|
2023|41110000|HS00000075|SP00000075|1|1|2|62|410|004|G2|1956|
2023|26140000|HS00000076|SP00000076|1|3|1|85|410|001|G2|1976|
2023|11200000|HS00000077|SP00000077|1|1|1|47|410|002|G2|1938|
2023|41130000|HS00000078|SP00000078|2|1|1|42|410|004|G2|1955|
2023|42110000|HS00000079|SP00000079|1|1|1|23|410|004|G1|1963|
2023|46110000|HS00000080|SP00000080|1|2|1|88|410|001|G2|1933|
2023|28110000|HS00000081|SP00000081|1|3|2|28|410|001|G2|1996|
2023|11170000|HS00000082|SP00000082|1|3|2|36|410|004|G2|1950|
2023|45110000|HS00000083|SP00000083|1|5|1|30|410|004|G3|1934|
2023|41150000|HS00000084|SP00000084|1|2|1|73|410|002|G2|1954|
2023|42110000|HS00000085|SP00000085|1|3|2|47|410|001|G3|1961|
2023|11140000|HS00000086|SP00000086|1|2|1|72|410|001|G1|1976|
2023|26140000|HS00000087|SP00000087|1|4|2|65|840|002|G3|1983|
2023|44130000|HS00000088|SP00000088|1|2|1|21|410|003|G1|1963|
2023|45110000|HS00000089|SP00000089|1|4|2|43|410|001|G2|1936|
2023|28110000|HS00000090|SP00000090|1|1|2|20|410|003|G2|1969|
2023|44130000|HS00000091|SP00000091|1|1|1|24|410|004|G2|1994|2020
2023|45110000|HS00000092|SP00000092|1|3|1|55|410|001|G2|1967|
2023|27110000|HS00000093|SP00000093|1|1|2|39|410|004|G3|1996|
2023|46110000|HS00000094|SP00000094|1|1|1|26|410|004|G2|1933|
2023|26110000|HS00000095|SP00000095|1|5|1|50|410|002|G4|1963|
2023|26110000|HS00000096|SP00000096|1|1|1|53|410|001|G2|1987|
2023|42110000|HS00000097|SP00000097|1|1|1|94|410|002|G2|1957|
2023|41150000|HS00000098|SP00000098|1|1|2|69|410|002|G3|1963|
2023|11170000|HS00000099|SP00000099|1|1|1|49|410|002|G2|1965|
2023|45110000|HS00000100|SP00000100|1|2|1|55|410|004|G2|1959|
2023|11200000|HS00000101|SP00000101|1|4|2|26|410|001|G2|1934|2010
2023|44130000|HS00000102|SP00000102|1|5|2|48|410|002|G2|1939|2020
2023|11110000|HS00000103|SP00000103|1|2|2|63|410|004|G1|1984|
2023|44130000|HS00000104|SP00000104|1|2|2|21|410|001|G2|1986|
2023|44130000|HS00000105|SP00000105|1|1|1|88|410|001|G2|1929|
2023|44130000|HS00000106|SP00000106|1|4|2|58|410|002|G2|1955|1990
2023|42110000|HS00000107|SP00000107|1|1|1|79|410|004|G2|2002|
2023|41110000|HS00000108|SP00000108|1|1|2|40|410|004|G2|1964|
2023|42110000|HS00000109|SP00000109|1|5|2|82|410|004|G3|1995|
2023|26110000|HS00000110|SP00000110|1|4|2|47|410|004|G2|2001|
2023|44130000|HS00000111|SP00000111|1|1|2|89|410|001|G2|1990|
2023|41130000|HS00000112|SP00000112|1|2|1|59|410|002|G4|1984|
2023|28110000|HS00000113|SP00000113|1|1|1|67|410|003|G3|1998|
2023|41110000|HS00000114|SP00000114|1|1|2|35|410|001|G1|1941|
2023|41130000|HS00000115|SP00000115|1|1|1|94|410|004|G2|1971|
2023|11110000|HS00000116|SP00000116|1|1|2|34|410|003|G1|1962|
2023|11170000|HS00000117|SP00000117|1|2|2|22|410|004|G3|1939|
2023|26110000|HS00000118|SP00000118|2|1|1|52|840|002|G2|1941|
2023|11140000|HS00000119|SP00000119|1|2|2|82|410|003|G2|1942|
2023|28110000|HS00000120|SP00000120|1|1|2|89|410|001|G2|1989|
2023|42110000|HS00000121|SP00000121|1|4|2|84|410|001|G2|1948|
2023|42110000|HS00000122|SP00000122|1|2|1|61|410|003|G1|1929|
2023|41110000|HS00000123|SP00000123|1|4|1|88|410|001|G3|2003|
2023|45110000|HS00000124|SP00000124|1|1|1|56|410|002|G2|1938|
2023|41130000|HS00000125|SP00000125|1|2|1|55|410|004|G2|1939|
2023|11140000|HS00000126|SP00000126|1|3|1|33|410|002|G3|1940|
2023|44130000|HS00000127|SP00000127|1|1|1|79|410|002|G1|1974|
2023|41130000|HS00000128|SP00000128|1|1|1|43|410|002|G1|1989|
2023|41150000|HS00000129|SP00000129|1|1|1|34|410|003|G2|1949|
2023|41130000|HS00000130|SP00000130|1|1|2|47|410|004|G3|1957|
2023|41130000|HS00000131|SP00000131|1|1|2|65|410|003|G1|1949|2010
2023|11140000|HS00000132|SP00000132|1|1|2|40|156|002|G3|1984|
2023|41130000|HS00000133|SP00000133|1|1|1|46|410|002|G2|1990|
2023|44130000|HS00000134|SP00000134|2|2|2|44|410|001|G2|1936|
2023|26140000|HS00000135|SP00000135|1|1|2|64|410|001|G2|1965|
2023|41150000|HS00000136|SP00000136|1|1|1|73|840|002|G1|1940|
2023|11110000|HS00000137|SP00000137|1|2|2|70|410|002|G2|1934|
2023|26140000|HS00000138|SP00000138|1|1|1|30|410|004|G3|1969|
2023|28110000|HS00000139|SP00000139|1|1|2|46|410|004|G2|1984|
2023|47110000|HS00000140|SP00000140|1|1|1|68|410|001|G2|1936|
2023|11200000|HS00000141|SP00000141|1|1|2|36|410|002|G3|1950|
2023|26110000|HS00000142|SP00000142|1|1|1|25|410|001|G1|1954|
2023|27110000|HS00000143|SP00000143|1|1|2|44|840|001|G2|1932|
2023|47110000|HS00000144|SP00000144|1|1|2|70|410|002|G2|1985|
2023|45110000|HS00000145|SP00000145|1|5|1|69|410|004|G1|1976|
2023|11110000|HS00000146|SP00000146|1|4|1|29|410|001|G4|2001|
2023|11200000|HS00000147|SP00000147|1|1|1|70|410|003|G4|1974|
2023|44130000|HS00000148|SP00000148|1|1|1|34|410|002|G2|1970|
2023|11110000|HS00000149|SP00000149|1|1|1|75|410|003|G3|1970|
2023|45110000|HS00000150|SP00000150|1|3|2|62|410|004|G1|1992|
2023|26110000|HS00000151|SP00000151|1|3|2|29|410|004|G4|1943|
2023|46110000|HS00000152|SP00000152|1|1|2|46|410|004|G3|1967|
2023|26110000|HS00000153|SP00000153|1|1|2|81|410|002|G2|1971|
2023|28110000|HS00000154|SP00000154|1|1|2|52|410|001|G2|1939|
2023|42110000|HS00000155|SP00000155|1|4|1|71|410|004|G3|1967|
2023|11170000|HS00000156|SP00000156|1|4|2|76|410|004|G2|1937|
2023|41130000|HS00000157|SP00000157|1|1|1|22|410|004|G2|1987|
2023|41110000|HS00000158|SP00000158|1|2|2|89|410|002|G2|1940|
2023|44130000|HS00000159|SP00000159|1|1|1|45|410|002|G1|1929|
2023|47110000|HS00000160|SP00000160|1|2|1|79|410|001|G1|1947|
2023|42110000|HS00000161|SP00000161|1|4|1|55|410|002|G2|1937|
2023|27110000|HS00000162|SP00000162|1|1|2|63|156|002|G2|1948|
2023|27110000|HS00000163|SP00000163|1|1|2|47|410|002|G2|1958|
2023|28110000|HS00000164|SP00000164|1|2|2|83|410|004|G2|1946|
2023|44130000|HS00000165|SP00000165|1|1|1|28|410|003|G1|1931|
2023|26140000|HS00000166|SP00000166|1|3|2|87|410|001|G1|1958|
2023|11170000|HS00000167|SP00000167|1|1|2|35|410|003|G2|1952|
2023|26140000|HS00000168|SP00000168|1|4|1|86|410|003|G1|1998|
2023|11110000|HS00000169|SP00000169|1|1|2|21|410|003|G2|1932|
2023|11140000|HS00000170|SP00000170|1|1|2|21|410|004|G2|1945|
2023|11140000|HS00000171|SP00000171|1|1|1|26|410|004|G2|1991|
2023|44130000|HS00000172|SP00000172|1|1|1|61|410|002|G2|1982|
2023|43110000|HS00000173|SP00000173|1|1|1|39|410|002|G3|1987|
2023|42110000|HS00000174|SP00000174|1|2|2|64|410|001|G1|1980|
2023|28110000|HS00000175|SP00000175|1|1|2|81|410|004|G3|1937|
2023|43110000|HS00000176|SP00000176|1|1|2|22|410|004|G2|1969|
2023|11170000|HS00000177|SP00000177|1|1|2|59|410|003|G1|1972|
2023|46110000|HS00000178|SP00000178|1|1|1|75|410|001|G2|1945|
2023|41110000|HS00000179|SP00000179|1|4|1|51|410|003|G2|1976|
2023|46110000|HS00000180|SP00000180|1|4|1|89|410|004|G2|1937|
2023|11170000|HS00000181|SP00000181|1|1|1|69|410|001|G3|1947|
2023|41110000|HS00000182|SP00000182|1|3|2|22|410|003|G3|1984|
2023|42110000|HS00000183|SP00000183|1|3|2|60|410|003|G2|1956|
2023|41110000|HS00000184|SP00000184|1|5|2|48|410|003|G4|1967|
2023|28110000|HS00000185|SP00000185|1|1|2|29|410|003|G2|1978|
2023|11170000|HS00000186|SP00000186|1|1|1|91|410|004|G1|1936|
2023|27110000|HS00000187|SP00000187|1|1|2|36|410|001|G3|1974|
2023|26110000|HS00000188|SP00000188|1|4|1|26|410|003|G2|1995|
2023|26140000|HS00000189|SP00000189|1|3|2|36|156|004|G1|1973|
2023|42110000|HS00000190|SP00000190|1|1|2|81|410|004|G1|1965|
2023|41150000|HS00000191|SP00000191|1|1|2|64|410|002|G2|1994|
2023|41150000|HS00000192|SP00000192|1|3|2|81|410|004|G2|1948|
2023|27110000|HS00000193|SP00000193|1|4|1|54|410|002|G2|1986|
2023|47110000|HS00000194|SP00000194|1|1|2|28|410|002|G2|1997|
2023|11140000|HS00000195|SP00000195|1|2|2|49|410|004|G3|1963|
2023|26140000|HS00000196|SP00000196|1|1|2|34|410|002|G3|1991|
2023|11170000|HS00000197|SP00000197|1|1|1|61|410|002|G1|1945|
2023|26140000|HS00000198|SP00000198|1|2|1|40|410|003|G1|1998|
2023|47110000|HS00000199|SP00000199|1|3|2|92|410|003|G2|1972|
2023|27110000|HS00000200|SP00000200|1|5|1|48|410|004|G1|2000|
2023|46110000|HS00000201|SP00000201|2|1|2|43|410|003|G2|1975|
2023|41110000|HS00000202|SP00000202|1|1|1|93|410|001|G2|1934|
2023|42110000|HS00000203|SP00000203|1|1|2|59|410|001|G3|1955|
2023|28110000|HS00000204|SP00000204|1|1|1|32|410|004|G2|1963|
2023|26110000|HS00000205|SP00000205|2|1|2|56|410|002|G2|1992|
2023|43110000|HS00000206|SP00000206|1|1|1|39|156|001|G2|1980|
2023|47110000|HS00000207|SP00000207|1|1|2|73|410|001|G3|1975|
2023|26110000|HS00000208|SP00000208|1|1|1|63|410|001|G2|1960|
2023|44130000|HS00000209|SP00000209|1|1|2|74|410|001|G3|1988|
2023|26110000|HS00000210|SP00000210|1|3|1|90|410|004|G3|1929|
2023|43110000|HS00000211|SP00000211|1|1|2|74|410|003|G2|1955|
2023|44130000|HS00000212|SP00000212|1|2|2|45|410|003|G2|1980|
2023|28110000|HS00000213|SP00000213|1|4|2|35|410|001|G2|1995|
