CRTR_YR|ADMDST_CLSF_CD|HOHL_SPIDN|SD_CD|AAGE|HS_SHAPE_CD|HS_SE_CD|MBHS_CNT|LVQT_KIND_CD|DTHS_TYPE_CD|LVQT_SN|HH_FMTN_CD|HH_HS_TYPE_CD|MCLTR_HS_YN
2023|44130000|HS00000000|1|72|G2|1|3|1|3|LV00000000|6|05|N
2023|41130000|HS00000001|2|93|G2|2|4|2|1|LV00000001|5|02|N
2023|44130000|HS00000002|1|69|G2|3|1|2|2|LV00000002|6|03|N
2023|11200000|HS00000003|2|83|G2|2|6|2|1|LV00000003|5|04|N
2023|26110000|HS00000004|2|43|G1|1|4|5|2|LV00000004|2|04|N
2023|11140000|HS00000005|1|50|G1|4|4|1|3|LV00000005|3|03|Y
2023|42110000|HS00000006|1|75|G2|1|4|3|3|LV00000006|6|03|N
2023|43110000|HS00000007|1|85|G2|1|4|1|2|LV00000007|2|03|N
2023|26110000|HS00000008|1|20|G2|2|3|2|1|LV00000008|4|03|N
2023|27110000|HS00000009|1|52|G2|1|2|2|3|LV00000009|4|02|N
2023|41130000|HS00000010|2|80|G2|3|3|3|2|LV00000010|2|05|N
2023|43110000|HS00000011|1|28|G1|2|5|2|2|LV00000011|1|04|N
2023|26140000|HS00000012|2|46|G2|4|1|2|2|LV00000012|1|04|N
2023|41110000|HS00000013|1|61|G2|1|3|2|2|LV00000013|5|01|N
2023|11200000|HS00000014|1|26|G2|2|5|1|2|LV00000014|2|03|N
2023|44130000|HS00000015|2|88|G2|3|4|3|2|LV00000015|2|02|N
2023|45110000|HS00000016|2|47|G3|3|1|4|1|LV00000016|6|01|N
2023|43110000|HS00000017|1|78|G3|2|6|2|2|LV00000017|4|02|N
2023|44130000|HS00000018|2|52|G3|4|1|2|2|LV00000018|1|01|N
2023|43110000|HS00000019|2|50|G2|4|3|2|2|LV00000019|2|04|N
2023|45110000|HS00000020|1|92|G2|3|1|2|2|LV00000020|3|03|N
2023|28110000|HS00000021|2|84|G3|3|2|1|2|LV00000021|3|04|N
2023|11200000|HS00000022|1|58|G3|3|3|2|2|LV00000022|5|05|N
2023|47110000|HS00000023|1|54|G3|2|2|2|1|LV00000023|5|02|N
2023|11110000|HS00000024|2|78|G3|3|6|3|2|LV00000024|1|01|N
2023|27110000|HS00000025|2|71|G3|4|4|2|1|LV00000025|2|01|N
2023|43110000|HS00000026|2|93|G2|1|3|3|2|LV00000026|4|01|N
2023|44130000|HS00000027|1|44|G2|1|2|3|2|LV00000027|1|01|Y
2023|42110000|HS00000028|1|28|G2|2|3|4|2|LV00000028|4|03|N
2023|41110000|HS00000029|2|34|G2|3|3|5|2|LV00000029|1|04|N
2023|46110000|HS00000030|1|59|G3|1|5|1|1|LV00000030|4|02|N
2023|11200000|HS00000031|2|43|G2|3|2|2|2|LV00000031|1|03|N
2023|11170000|HS00000032|2|80|G2|1|5|3|1|LV00000032|5|02|N
2023|41150000|HS00000033|2|85|G4|1|3|3|9|LV00000033|3|04|N
2023|26140000|HS00000034|2|34|G2|2|2|1|2|LV00000034|6|04|N
2023|28110000|HS00000035|1|94|G1|1|3|2|2|LV00000035|1|04|N
2023|28110000|HS00000036|2|67|G2|3|1|3|1|LV00000036|6|03|N
2023|26110000|HS00000037|1|39|G2|3|4|2|9|LV00000037|3|05|N
2023|47110000|HS00000038|1|35|G2|3|5|2|2|LV00000038|3|01|N
2023|27110000|HS00000039|1|32|G2|3|4|2|2|LV00000039|5|03|N
2023|42110000|HS00000040|2|55|G4|3|1|2|3|LV00000040|4|01|N
2023|11170000|HS00000041|2|25|G2|3|4|2|2|LV00000041|6|05|N
2023|47110000|HS00000042|2|29|G2|3|1|1|9|LV00000042|5|01|N
2023|47110000|HS00000043|1|76|G2|1|3|3|1|LV00000043|2|03|N
2023|11140000|HS00000044|2|56|G2|3|4|1|3|LV00000044|2|01|N
2023|41150000|HS00000045|2|59|G2|1|6|3|9|LV00000045|6|04|N
2023|41150000|HS00000046|2|44|G2|1|6|1|2|LV00000046|5|03|N
2023|11170000|HS00000047|1|61|G2|4|4|3|3|LV00000047|6|03|N
2023|44130000|HS00000048|1|45|G4|1|2|2|1|LV00000048|6|05|N
2023|43110000|HS00000049|1|23|G2|1|5|2|2|LV00000049|4|05|N
2023|45110000|HS00000050|2|62|G2|2|3|2|2|LV00000050|6|03|N
2023|41150000|HS00000051|1|26|G3|4|4|2|2|LV00000051|5|02|N
2023|43110000|HS00000052|1|71|G2|4|2|2|2|LV00000052|6|02|N
2023|43110000|HS00000053|1|88|G3|3|3|1|2|LV00000053|3|04|N
2023|44130000|HS00000054|1|70|G2|1|3|2|2|LV00000054|6|05|N
2023|41130000|HS00000055|2|63|G1|3|5|1|1|LV00000055|1|03|N
2023|43110000|HS00000056|2|92|G1|4|6|4|2|LV00000056|6|03|N
2023|11140000|HS00000057|1|36|G1|2|2|2|1|LV00000057|6|05|N
2023|41150000|HS00000058|1|78|G3|2|4|1|2|LV00000058|5|01|N
2023|11200000|HS00000059|1|35|G2|4|6|4|1|LV00000059|6|01|N
2023|27110000|HS00000060|1|20|G3|1|1|1|2|LV00000060|3|01|N
2023|44130000|HS00000061|2|38|G3|4|4|3|9|LV00000061|2|03|N
2023|11140000|HS00000062|1|57|G2|2|5|2|9|LV00000062|1|05|N
2023|43110000|HS00000063|1|24|G3|3|1|2|2|LV00000063|2|02|N
2023|26110000|HS00000064|2|40|G3|2|5|3|1|LV00000064|6|04|N
2023|43110000|HS00000065|2|23|G2|3|3|1|2|LV00000065|1|05|N
2023|44130000|HS00000066|1|38|G3|4|4|2|2|LV00000066|2|05|N
2023|11110000|HS00000067|2|73|G3|2|5|1|1|LV00000067|3|04|N
2023|11200000|HS00000068|2|31|G2|1|1|2|9|LV00000068|3|02|N
2023|44130000|HS00000069|2|39|G1|1|1|2|2|LV00000069|6|04|N
2023|26140000|HS00000070|1|30|G2|4|2|1|2|LV00000070|1|03|N
2023|28110000|HS00000071|1|48|G4|4|2|2|2|LV00000071|1|03|N
2023|11110000|HS00000072|1|77|G2|3|2|2|3|LV00000072|2|04|N
2023|42110000|HS00000073|1|60|G3|1|6|5|3|LV00000073|4|04|N
2023|11140000|HS00000074|1|35|G3|4|5|5|1|LV00000074|3|05|N
2023|26110000|HS00000075|2|44|G2|2|3|2|3|LV00000075|6|03|N
2023|41110000|HS00000076|1|70|G4|1|4|3|3|LV00000076|1|04|N
2023|44130000|HS00000077|2|55|G2|2|1|3|3|LV00000077|3|02|N
2023|41110000|HS00000078|2|54|G2|4|2|2|1|LV00000078|4|03|N
2023|47110000|HS00000079|1|84|G2|4|1|2|2|LV00000079|4|05|N
2023|41110000|HS00000080|1|81|G2|3|3|2|3|LV00000080|4|04|N
2023|26110000|HS00000081|1|38|G2|3|4|1|1|LV00000081|3|03|N
2023|11200000|HS00000082|1|72|G2|4|4|3|2|LV00000082|1|03|N
2023|44130000|HS00000083|1|79|G1|3|4|2|2|LV00000083|1|02|N
2023|28110000|HS00000084|1|87|G2|2|1|2|2|LV00000084|1|02|N
2023|41150000|HS00000085|2|39|G2|1|4|3|1|LV00000085|4|04|N
