CRTR_YR|ADMDST_CLSF_CD|LVQT_KIND_CD|DTHS_TYPE_CD|RSDT_AREA|SIAR|ARCH_APRV_YR|BLDG_DLPD_PD_CD|NHAB_HOUS_YN|LVQT_SN
2023|46110000|3|3|58.19|215.02|1971|4|N|LV00000000
2023|42110000|2|2|102.86|278.14|2003|3|N|LV00000001
2023|11170000|2|3|80.49|68.47|1965|4|N|LV00000002
2023|27110000|2|3|26.79|121.61|2007|2|N|LV00000003
2023|44130000|5|1|107.61|117.3|1961|4|N|LV00000004
2023|45110000|2|1|138.12|61.57|1979|4|N|LV00000005
2023|42110000|1|2|29.36|181.2|1976|4|N|LV00000006
2023|11110000|2|2|122.12|112.77|1970|4|N|LV00000007
2023|27110000|2|1|75.81|74.59|1993|4|N|LV00000008
2023|28110000|2|1|27.34|35.91|1973|4|N|LV00000009
2023|11200000|2|9|37.44|36.76|1969|4|N|LV00000010
2023|28110000|2|3|148.94|135.51|1984|4|N|LV00000011
2023|27110000|5|2|117.04|194.95|1991|4|N|LV00000012
2023|41130000|2|2|192.06|87.39|1999|3|N|LV00000013
2023|26140000|3|1|142.69|275.73|1965|4|N|LV00000014
2023|27110000|4|1|193.26|86.75|1971|4|N|LV00000015
2023|45110000|2|2|71.32|103.01|1963|4|N|LV00000016
2023|27110000|2|1|124.85|112.12|2009|2|N|LV00000017
2023|11200000|3|9|120.55|72.59|1995|3|N|LV00000018
2023|43110000|2|1|114.25|299.75|1975|4|N|LV00000019
2023|26110000|2|2|181.53|223.58|1993|4|N|LV00000020
2023|11170000|1|3|114.99|111.11|2011|2|N|LV00000021
2023|43110000|2|1|67.45|292.76|2007|2|N|LV00000022
2023|26110000|2|2|146.35|201.39|2018|2|N|LV00000023
2023|11110000|2|2|67.67|237.72|1974|4|N|LV00000024
2023|11140000|4|1|35.0|122.8|1970|4|N|LV00000025
2023|43110000|2|1|125.96|88.52|2008|2|N|LV00000026
2023|26110000|2|3|44.75|151.45|2017|2|N|LV00000027
2023|27110000|2|2|148.56|142.51|1971|4|N|LV00000028
2023|41110000|1|1|98.88|295.83|2004|2|Y|LV00000029
2023|26110000|1|2|175.92|69.18|1996|3|N|LV00000030
2023|11200000|2|3|92.85|66.5|2015|2|N|LV00000031
2023|11140000|1|2|91.31|197.72|1972|4|N|LV00000032
2023|11140000|1|9|97.19|181.72|1981|4|N|LV00000033
2023|46110000|1|3|148.47|177.48|1999|3|N|LV00000034
2023|47110000|2|1|47.93|141.25|2014|2|N|LV00000035
2023|41150000|3|1|81.43|127.5|2011|2|N|LV00000036
2023|28110000|2|2|68.22|53.53|1990|4|N|LV00000037
2023|44130000|4|2|89.83|243.97|1983|4|N|LV00000038
2023|45110000|3|2|184.1|150.55|1971|4|Y|LV00000039
2023|28110000|3|2|133.64|272.27|1985|4|N|LV00000040
2023|43110000|2|1|110.59|163.81|2022|2|N|LV00000041
2023|11140000|2|9|43.22|273.95|1974|4|N|LV00000042
2023|11170000|2|2|123.73|279.48|2019|2|N|LV00000043
2023|45110000|2|3|163.77|180.99|1977|4|Y|LV00000044
2023|41110000|1|2|84.97|245.31|1967|4|N|LV00000045
2023|44130000|2|2|182.52|58.06|2005|2|N|LV00000046
2023|41130000|2|9|83.26|61.65|1988|4|N|LV00000047
