기준연월|공휴일구분코드|가맹점행정구역분류시도코드|가맹점행정구역분류시군구코드|가맹점행정구역분류코드|가맹점법정동코드|가맹점행정구역분류시도명|가맹점행정구역분류시군구명|가맹점행정구역분류명|가맹점법정동명|통합카드업종3레벨코드|통합카드업종3레벨명|조직구분코드|통합카드성별코드|통합카드5세단위연령코드|통합카드직업코드|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드혼인구분코드|통합카드가구형태코드|카드사용건수|카드사용금액|1인당평균사용금액
202412|H|27|44130|26140000|4115000000|서울특별시|용산구|명동|역삼동|FF0101|약국|1|1|14|8|43|26110|26140000|4115000000|인천|수원시|인계동|서초1동|2|1|39|385969|9896
202412|W|47|41150|26140000|4711000000|서울특별시|중구|강남|역삼동|FF0101|카페|2|1|14|4|46|41110|46110000|4711000000|경기|수원시|역삼동|역삼1동|1|5|245|2007308|8193
202412|W|26|45110|11200000|2711000000|서울특별시|종로구|강남|역삼동|GG0102|카페|2|1|15|6|26|41110|42110000|4115000000|인천|서초구|역삼동|역삼1동|1|5|96|2068652|21548
202412|W|11|41150|28110000|2611000000|서울특별시|성동구|신촌|명동1가|LL0301|마트|1|1|14|1|42|11140|27110000|4611000000|경기|서초구|서초동|서초1동|1|5|78|225366|2889
202412|H|41|11200|43110000|2811000000|서울특별시|종로구|홍대|역삼동|GG0101|한식|1|2|11|5|42|41110|11110000|4511000000|경기|성남시|인계동|역삼1동|1|3|43|1743289|40541
202412|W|26|11200|46110000|4711000000|서울특별시|종로구|홍대|역삼동|LL0102|약국|1|2|15|9|43|11140|27110000|2811000000|인천|수원시|인계동|서초1동|1|5|69|4765313|69062
202412|W|43|26140|27110000|1114000000|서울특별시|용산구|신촌|명동1가|GG0101|한식|1|2|15|8|45|41130|11200000|2811000000|대구|성남시|인계동|서초1동|1|3|196|4674670|23850
202412|W|11|11110|43110000|4113000000|서울특별시|종로구|강남|서교동|GG0101|병원|1|1|14|4|47|42110|11170000|4611000000|경기|강남구|인계동|서초1동|1|4|72|2609374|36241
202412|H|41|11170|45110000|2711000000|서울특별시|용산구|명동|역삼동|HH0201|병원|1|x|15|2|27|42110|41150000|4115000000|서울|강남구|역삼동|역삼1동|2|5|66|4921198|74563
202412|W|41|11110|26110000|1117000000|서울특별시|성동구|명동|서교동|FF0102|약국|1|2|12|2|44|26140|11170000|2614000000|부산|수원시|역삼동|서초1동|2|4|78|4493766|57612
