기준연월|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드아파트단지코드|통합카드아파트단지명|연평균소득금액|통합카드성별코드|통합카드10세단위연령코드|영화관심비율|건강관심비율|게임관심비율|골프관심비율|독서관심비율|레저관심비율|뷰티관심비율|쇼핑관심비율|애완동물관심비율|여행관심비율|예술관심비율|온라인쇼핑관심비율|육아관심비율|식도락관심비율|자동차관심비율
202401|42|41110|46110000|1114000000|부산|수원시|서초동|서초1동|APT8944|힐스테이트|15629|2|4|0.051|0.036|0.003|0.036|0.017|0.101|0.066|0.029|0.148|0.026|0.345|0.067|0.008|0.055|0.012
202401|47|43110|41130000|1120000000|인천|성남시|인계동|서초1동|APT1749|자이|13136|2|6|0.224|0.019|0.207|0.005|0.015|0.055|0.026|0.178|0.0|0.108|0.014|0.104|0.008|0.014|0.024
202401|42|27110|11140000|2614000000|부산|강남구|역삼동|역삼1동|APT2297|래미안|6520|2|4|0.02|0.048|0.086|0.073|0.016|0.098|0.032|0.009|0.264|0.025|0.08|0.001|0.224|0.014|0.01
202401|44|11110|41110000|2711000000|경기|수원시|서초동|역삼1동|APT4178|푸르지오|4688|2|3|0.075|0.284|0.008|0.017|0.047|0.006|0.153|0.081|0.099|0.019|0.002|0.001|0.108|0.006|0.092
202401|45|26140|43110000|4115000000|인천|성남시|역삼동|역삼1동|APT3409|래미안|16655|1|6|0.098|0.019|0.046|0.004|0.166|0.082|0.135|0.073|0.046|0.017|0.028|0.045|0.064|0.081|0.099
202401|11|43110|26110000|1117000000|서울|강남구|인계동|서초1동|APT2594|힐스테이트|5691|2|4|0.213|0.002|0.024|0.024|0.056|0.008|0.032|0.065|0.091|0.112|0.06|0.006|0.167|0.106|0.034
202401|43|44130|47110000|4511000000|서울|수원시|역삼동|역삼1동|APT9375|자이|13338|2|4|0.241|0.085|0.064|0.1|0.182|0.005|0.003|0.042|0.11|0.084|0.0|0.028|0.04|0.004|0.012
202401|46|41150|44130000|4511000000|서울|성남시|역삼동|서초1동|APT3055|힐스테이트|18947|2|5|0.035|0.16|0.078|0.185|0.037|0.004|0.094|0.03|0.021|0.202|0.035|0.0|0.012|0.097|0.012
202401|42|46110|11200000|4711000000|인천|서초구|서초동|역삼1동|APT4558|자이|12272|2|3|0.052|0.0|0.063|0.044|0.185|0.036|0.209|0.075|0.089|0.069|0.028|0.065|0.002|0.059|0.024
202401|43|26140|41130000|4311000000|경기|성남시|서초동|역삼1동|APT9846|자이|7398|2|5|0.167|0.154|0.055|0.0|0.056|0.048|0.119|0.045|0.02|0.032|0.026|0.008|0.09|0.156|0.023
202401|41|27110|47110000|4511000000|인천|강남구|서초동|서초1동|APT6998|자이|2479|2|2|0.214|0.057|0.032|0.001|0.043|0.107|0.212|0.031|0.015|0.01|0.006|0.083|0.078|0.09|0.021
202401|45|47110|11170000|4413000000|부산|성남시|서초동|역삼1동|APT7139|래미안|4365|1|5|0.162|0.019|0.026|0.099|0.078|0.014|0.013|0.029|0.11|0.009|0.026|0.154|0.037|0.004|0.219
202401|45|41130|11170000|1120000000|서울|수원시|서초동|서초1동|APT1927|힐스테이트|15181|2|5|0.042|0.012|0.088|0.056|0.062|0.046|0.064|0.068|0.152|0.009|0.096|0.007|0.031|0.17|0.098
202401|11|27110|11170000|1111000000|경기|성남시|서초동|서초1동|APT4516|푸르지오|10897|2|5|0.05|0.064|0.062|0.037|0.042|0.016|0.31|0.011|0.053|0.074|0.125|0.0|0.019|0.05|0.088
202401|41|11200|27110000|1120000000|인천|강남구|인계동|서초1동|APT5326|자이|12541|2|5|0.031|0.186|0.052|0.062|0.268|0.043|0.053|0.0|0.038|0.01|0.008|0.016|0.057|0.022|0.154
202401|42|28110|11170000|1120000000|경기|수원시|인계동|역삼1동|APT5154|자이|19317|1|6|0.152|0.06|0.0|0.12|0.005|0.015|0.178|0.064|0.13|0.214|0.032|0.02|0.004|0.002|0.003
202401|46|26140|46110000|1120000000|서울|서초구|역삼동|역삼1동|APT6953|자이|7414|1|3|0.051|0.005|0.116|0.15|0.055|0.089|0.007|0.028|0.036|0.142|0.053|0.026|0.079|0.019|0.145
202401|45|11110|11200000|4413000000|부산|서초구|인계동|역삼1동|APT3210|힐스테이트|11507|x|5|0.018|0.179|0.306|0.01|0.071|0.041|0.006|0.036|0.07|0.05|0.019|0.043|0.052|0.021|0.079
202401|26|46110|44130000|4113000000|경기|수원시|역삼동|역삼1동|APT4046|자이|10422|2|4|0.026|0.016|0.133|0.016|0.026|0.247|0.067|0.012|0.018|0.026|0.079|0.131|0.136|0.024|0.043
202401|11|11140|45110000|4113000000|인천|성남시|인계동|서초1동|APT5923|래미안|18442|1|2|0.02|0.076|0.276|0.032|0.07|0.048|0.02|0.065|0.052|0.005|0.073|0.031|0.026|0.106|0.099
202401|45|26110|47110000|4211000000|부산|강남구|인계동|서초1동|APT9169|푸르지오|18510|1|5|0.003|0.029|0.104|0.087|0.102|0.032|0.02|0.086|0.019|0.012|0.025|0.099|0.083|0.127|0.174
202401|45|26110|26110000|2711000000|서울|서초구|인계동|역삼1동|APT5002|래미안|12908|2|5|0.015|0.077|0.111|0.128|0.037|0.082|0.118|0.024|0.088|0.172|0.016|0.107|0.001|0.009|0.014
202401|46|27110|11170000|4511000000|서울|서초구|인계동|서초1동|APT1540|힐스테이트|16135|2|2|0.016|0.037|0.026|0.036|0.022|0.068|0.205|0.046|0.06|0.008|0.105|0.006|0.012|0.255|0.099
202401|27|11200|11140000|1117000000|서울|성남시|인계동|서초1동|APT5197|래미안|6027|1|3|0.014|0.118|0.138|0.05|0.088|0.005|0.021|0.05|0.037|0.001|0.077|0.088|0.002|0.183|0.129
202401|27|42110|27110000|2614000000|서울|서초구|역삼동|서초1동|APT8135|힐스테이트|17882|2|4|0.049|0.038|0.038|0.024|0.036|0.238|0.124|0.087|0.118|0.004|0.013|0.019|0.084|0.026|0.102
202401|26|11110|44130000|4311000000|부산|수원시|역삼동|역삼1동|APT1844|래미안|13116|2|4|0.026|0.033|0.022|0.156|0.116|0.06|0.033|0.002|0.156|0.061|0.037|0.095|0.009|0.113|0.08
202401|46|11110|44130000|4311000000|부산|강남구|인계동|서초1동|APT8611|자이|13032|x|6|0.041|0.187|0.026|0.002|0.042|0.065|0.059|0.032|0.017|0.032|0.15|0.054|0.179|0.037|0.078
202401|41|41110|42110000|4711000000|경기|강남구|역삼동|서초1동|APT1907|푸르지오|7417|1|4|0.036|0.022|0.061|0.051|0.136|0.229|0.031|0.019|0.03|0.068|0.05|0.06|0.165|0.042|0.002
202401|47|41150|45110000|4115000000|부산|성남시|서초동|역삼1동|APT2253|힐스테이트|16521|1|4|0.005|0.029|0.047|0.182|0.076|0.055|0.005|0.035|0.098|0.005|0.092|0.014|0.078|0.03|0.249
202401|42|41150|42110000|4413000000|서울|수원시|인계동|서초1동|APT1129|래미안|5090|x|2|0.014|0.071|0.007|0.017|0.013|0.008|0.051|0.006|0.164|0.087|0.007|0.162|0.123|0.212|0.058
202401|46|41130|41110000|1117000000|서울|수원시|서초동|역삼1동|APT5332|푸르지오|13575|2|6|0.12|0.052|0.044|0.005|0.263|0.028|0.009|0.014|0.124|0.006|0.056|0.088|0.023|0.108|0.059
202401|42|26140|43110000|1117000000|서울|서초구|인계동|역삼1동|APT5449|자이|10262|2|3|0.117|0.079|0.032|0.064|0.029|0.143|0.024|0.137|0.111|0.003|0.122|0.065|0.003|0.064|0.006
202401|43|11110|41150000|4511000000|서울|수원시|인계동|역삼1동|APT3764|푸르지오|5250|1|3|0.133|0.005|0.045|0.061|0.026|0.044|0.05|0.032|0.276|0.024|0.112|0.035|0.013|0.014|0.129
202401|42|44130|28110000|4511000000|인천|수원시|역삼동|역삼1동|APT4668|자이|19422|1|3|0.075|0.125|0.008|0.089|0.104|0.035|0.007|0.048|0.018|0.023|0.019|0.056|0.142|0.119|0.131
202401|46|42110|11110000|4511000000|경기|강남구|인계동|역삼1동|APT9566|자이|18809|x|4|0.018|0.052|0.081|0.037|0.027|0.03|0.176|0.0|0.005|0.02|0.082|0.062|0.209|0.136|0.065
202401|27|26110|27110000|4711000000|서울|수원시|서초동|역삼1동|APT3759|래미안|19895|1|6|0.046|0.042|0.058|0.014|0.299|0.018|0.067|0.028|0.096|0.017|0.162|0.021|0.026|0.104|0.002
202401|41|45110|11170000|4611000000|경기|성남시|서초동|서초1동|APT2659|래미안|13369|1|2|0.123|0.003|0.067|0.113|0.073|0.015|0.169|0.079|0.048|0.061|0.054|0.071|0.093|0.023|0.008
202401|26|26140|42110000|2811000000|인천|강남구|역삼동|역삼1동|APT8633|힐스테이트|4217|1|4|0.025|0.323|0.094|0.011|0.14|0.063|0.073|0.088|0.036|0.039|0.009|0.006|0.017|0.002|0.073
202401|45|46110|41110000|1114000000|인천|강남구|역삼동|역삼1동|APT9088|푸르지오|15054|1|6|0.163|0.039|0.082|0.068|0.015|0.022|0.066|0.024|0.037|0.006|0.162|0.032|0.143|0.08|0.063
202401|44|44130|26110000|2614000000|부산|서초구|서초동|역삼1동|APT3690|래미안|13844|x|3|0.131|0.109|0.009|0.059|0.177|0.007|0.005|0.097|0.035|0.105|0.08|0.03|0.117|0.019|0.02
202401|41|11200|11200000|2711000000|서울|수원시|서초동|서초1동|APT3550|자이|3184|1|4|0.147|0.075|0.102|0.043|0.049|0.004|0.102|0.033|0.007|0.028|0.133|0.035|0.021|0.099|0.122
202401|43|28110|26140000|1117000000|경기|서초구|인계동|역삼1동|APT2903|푸르지오|15943|2|5|0.026|0.05|0.075|0.014|0.005|0.014|0.037|0.101|0.113|0.191|0.011|0.049|0.084|0.134|0.094
202401|43|11170|41130000|2614000000|경기|서초구|역삼동|역삼1동|APT4452|힐스테이트|8633|1|3|0.049|0.036|0.076|0.157|0.061|0.187|0.101|0.016|0.031|0.093|0.067|0.035|0.057|0.023|0.011
202401|44|41150|41130000|1114000000|인천|수원시|서초동|서초1동|APT2028|자이|15470|1|4|0.012|0.008|0.106|0.002|0.0|0.059|0.079|0.179|0.189|0.027|0.021|0.015|0.005|0.086|0.212
