기준년월|구분명|광역시도코드|시군구코드(개정후)|행정구역분류코드(개정후)|광역시도명|시군구명(개정후)|행정구역분류명(개정후)|법정동코드|법정동명|성별|연령구간대|직업구분|금융기관|분위코드(총대출잔액기준)|총대출_보유계좌수|유효대출계좌_대상자수|대출잔액_보유대상자수|대출잔액_최저금액|대출잔액_최대금액|대출잔액_평균금액|대출잔액_주택담보_평균금액|대출잔액_신용_평균금액|대출잔액_기타_평균금액|대출잔액_중위금액|대출잔액_주택담보_중위금액|대출잔액_신용_중위금액|총대출잔액|총대출잔액_주택담보|총대출잔액_신용|총대출잔액_기타|신규대출_약정금액합(당월)|신규대출_주택담보약정금액합(당월)|신규대출_신용약정금액합(당월)|신규대출_기타약정금액합(당월)|일시불상환_대출보유대상자수|분할상환_대출보유대상자수|한도대출_보유대상자수|기타대출_보유대상자수|대출잔액합_일시불|대출잔액합_분할상환|대출잔액합_한도|대출잔액합_기타|대출평균이자율|월 연체보유자수 합계|월평균연체건수|평균연체일|평균연체금액|중위연체금액|연체금액
202404|CNTY_GU|45|47110|41110000|서울|성남시|인계동|2811000000|역삼1가|2|50|0|1|5|1181|210|210|89|51988|10873.0|7713.0|4079.0|0.0|8006|5863|3692|2283330.0|1619730.0|856590.0|0.0|2607674|2359668|421312|337908|53|107|42|9|4039678|16337800|486940|1941644|2.23|13|3.93|46|94|120|1222.0
202404|ADM|42|11200|26110000|부산|강남구|역삼동|1111000000|역삼1가|1|60|0|2|9|1396|302|302|284|94612|29418.0|15314.0|5008.0|9096.0|27436|11391|4982|8884236.0|4624828.0|1512416.0|2746992.0|946095|2148938|730804|278771|60|149|30|15|7755437|10514711|140462|213521|3.78|23|3.36|123|104|153|2392.0
202404|CNTY_GU|26|41110|43110000|대구|강남구|역삼동|2611000000|인계동|1|40|0|1|6|1051|356|356|812|89370|7906.0|4785.0|1598.0|1523.0|5694|4136|1133|2814536.0|1703460.0|568888.0|542188.0|1809051|205474|928929|231273|58|172|102|7|6639011|485136|3090933|531547|5.2|23|4.63|129|220|94|5060.0
202404|ADM|41|26110|41110000|부산|성남시|서초동|4413000000|서초1동|2|65|1|1|8|814|70|70|630|11986|42031.0|17362.0|6514.0|18155.0|32157|14770|6321|2942170.0|1215340.0|455980.0|1270850.0|4417260|2598051|102177|344357|18|35|8|3|612127|888899|3665023|1475133|6.67|7|2.57|49|474|477|3318.0
202404|ADM|41|46110|42110000|경기|서초구|역삼동|2611000000|인계동|2|65|2|1|7|1027|182|182|28|36299|40119.0|19999.0|13251.0|6869.0|34990|19003|11745|7301658.0|3639818.0|2411682.0|1250158.0|2308881|2927727|606192|252099|21|87|46|7|3473145|15142533|811788|229609|5.6|0|1.2|40|0|197|0.0
202404|PRVNC|42|26140|44130000|부산|성남시|역삼동|2614000000|역삼1가|2|50|1|1|7|1237|118|118|447|54180|37761.0|25573.0|10148.0|2040.0|33674|22179|8719|4455798.0|3017614.0|1197464.0|240720.0|246443|964063|178205|325509|12|63|34|3|7594816|5074947|631931|1015510|7.07|7|4.62|170|313|385|2191.0
202404|CNTY_GU|42|41110|45110000|인천|성남시|서초동|4711000000|역삼1가|1|55|0|1|9|1016|486|486|397|96205|42799.0|14629.0|8955.0|19215.0|35073|13956|8624|20800314.0|7109694.0|4352130.0|9338490.0|1783174|1145518|6825|65275|106|213|119|34|7282134|18944256|4652650|148101|5.16|40|4.68|53|359|115|14360.0
202404|PRVNC|41|41110|41150000|서울|서초구|역삼동|4115000000|인계동|2|70|1|1|6|382|472|472|965|76291|28513.0|21352.0|6093.0|1068.0|28065|21124|5300|13458136.0|10078144.0|2875896.0|504096.0|3167882|172695|29503|398593|83|215|97|19|8715126|6214788|3677140|863164|3.67|55|2.06|144|43|117|2365.0
202404|ADM|41|11110|11200000|대구|서초구|인계동|2811000000|역삼1가|1|70|3|2|3|77|66|66|867|92878|37511.0|23841.0|3912.0|9758.0|36051|17915|3346|2475726.0|1573506.0|258192.0|644028.0|2213030|1815126|685001|290757|15|36|10|4|5590170|1337582|4500039|671293|6.45|4|2.68|53|66|269|264.0
202404|ADM|43|41110|27110000|대구|성남시|서초동|4611000000|인계동|1|55|3|1|8|428|305|305|781|27148|35622.0|19218.0|11697.0|4707.0|27708|15701|8274|10864710.0|5861490.0|3567585.0|1435635.0|4389786|1484223|417344|295020|36|156|68|13|3987878|17343925|2312682|804539|5.73|44|2.8|92|400|191|17600.0
202404|CNTY_GU|11|41110|26110000|서울|서초구|역삼동|4611000000|인계동|2|45|0|2|1|366|19|19|784|92481|26005.0|20782.0|7675.0|0.0|25540|14636|7585|494095.0|394858.0|145825.0|0.0|2017890|2987947|879531|440878|3|9|3|1|3913435|12385322|4954101|883827|4.15|1|1.21|179|51|402|51.0
202404|CNTY_GU|46|46110|26110000|서울|성남시|인계동|2614000000|인계동|2|30|1|2|3|1349|123|123|288|63486|44022.0|27483.0|5133.0|11406.0|36733|25577|5132|5414706.0|3380409.0|631359.0|1402938.0|1586449|196793|617586|142349|25|73|17|7|8053118|3329515|2215122|454120|5.04|8|2.73|152|278|309|2224.0
202404|CNTY_GU|41|43110|44130000|경기|서초구|역삼동|4115000000|역삼1가|2|70|3|1|1|1327|45|45|157|75070|28588.0|13415.0|3315.0|11858.0|21344|13230|2779|1286460.0|603675.0|149175.0|533610.0|4607361|977056|115349|305091|12|21|9|1|824352|9959485|1686555|1443140|4.96|2|1.66|104|136|425|272.0
202404|CNTY_GU|45|11170|28110000|인천|성남시|서초동|2811000000|역삼1가|2|60|2|2|1|1268|113|113|622|77988|1404.0|1020.0|430.0|0.0|987|795|370|158652.0|115260.0|48590.0|0.0|2714077|451548|792352|303419|31|65|16|3|8477942|13424721|1126016|1049856|6.7|8|2.64|131|140|333|1120.0
202404|ADM|47|28110|46110000|부산|성남시|인계동|4113000000|역삼1가|1|25|0|2|9|967|54|54|366|60590|14231.0|7558.0|4624.0|2049.0|13545|7191|3909|768474.0|408132.0|249696.0|110646.0|546632|795828|452811|108384|15|25|11|2|6858789|3486110|1808842|383561|5.98|6|2.74|76|370|194|2220.0
202404|CNTY_GU|44|44130|47110000|서울|강남구|역삼동|2614000000|인계동|1|40|2|1|1|509|357|357|934|13722|12563.0|8988.0|1630.0|1945.0|11724|8886|1295|4484991.0|3208716.0|581910.0|694365.0|4202050|2433669|423274|153799|93|210|79|35|5131092|5621421|4668149|733201|3.24|52|2.68|176|208|373|10816.0
202404|CNTY_GU|42|46110|28110000|서울|수원시|서초동|2811000000|인계동|2|40|0|1|2|1309|394|394|231|23944|42150.0|16658.0|13770.0|11722.0|37640|13958|12276|16607100.0|6563252.0|5425380.0|4618468.0|3635960|2381528|740568|269778|94|157|74|13|5348307|15806881|4862089|859393|2.27|6|3.4|67|169|466|1014.0
202404|ADM|44|41150|26110000|경기|서초구|역삼동|2711000000|역삼1가|1|40|2|2|2|1017|400|400|924|46764|11108.0|5470.0|3528.0|2110.0|8545|4205|2872|4443200.0|2188000.0|1411200.0|844000.0|3874830|378666|302384|340749|80|239|102|0|4565291|7300395|439085|981407|7.27|21|3.93|73|460|24|9660.0
202404|ADM|45|44130|11170000|부산|강남구|역삼동|1117000000|서초1동|2|50|1|2|1|1395|53|53|120|48285|24957.0|11976.0|6926.0|6055.0|19303|10899|5111|1322721.0|634728.0|367078.0|320915.0|2967512|2818533|572917|344694|11|22|12|0|6610362|11791077|932995|1013999|6.54|4|2.49|9|323|375|1292.0
202404|ADM|41|41150|11170000|경기|수원시|서초동|4211000000|역삼1가|1|50|3|2|8|1154|356|356|855|80068|32649.0|11964.0|4233.0|16452.0|24255|9947|3551|11623044.0|4259184.0|1506948.0|5856912.0|1325549|805187|953072|452002|71|212|101|22|1457619|3736082|2742705|1640881|6.65|27|4.1|63|236|13|6372.0
202404|CNTY_GU|43|42110|41130000|대구|서초구|서초동|4111000000|서초1동|2|35|2|1|3|1519|425|425|151|42699|18458.0|10850.0|2783.0|4825.0|16927|10492|2198|7844650.0|4611250.0|1182775.0|2050625.0|1743338|2875911|238852|199735|56|212|66|1|9219849|6355854|3058519|1912503|3.91|19|4.35|162|86|166|1634.0
202404|CNTY_GU|47|46110|41130000|서울|강남구|서초동|4413000000|인계동|2|45|0|2|2|1490|139|139|175|39426|20676.0|13282.0|5400.0|1994.0|16122|10717|4155|2873964.0|1846198.0|750600.0|277166.0|1952290|1666957|998683|410412|39|82|37|0|7586981|17250835|3237148|1883832|4.31|5|2.31|133|386|289|1930.0
202404|CNTY_GU|43|42110|11170000|부산|서초구|역삼동|1120000000|역삼1가|2|70|2|2|6|106|464|464|716|30422|18434.0|7304.0|4939.0|6191.0|15768|6153|4539|8553376.0|3389056.0|2291696.0|2872624.0|2384832|342340|324950|149085|69|188|64|31|2438580|431980|873785|1085914|3.04|36|1.72|131|364|431|13104.0
202404|ADM|41|47110|11140000|부산|서초구|인계동|4611000000|인계동|1|55|1|2|1|48|450|450|449|36379|18476.0|13138.0|3902.0|1436.0|14056|10816|3206|8314200.0|5912100.0|1755900.0|646200.0|4807138|2623654|650856|185249|82|233|45|28|5651427|6237796|2613314|1255338|5.42|54|2.83|115|321|349|17334.0
202404|PRVNC|45|46110|11140000|경기|성남시|서초동|4413000000|역삼1가|2|60|1|1|3|1102|414|414|227|81163|26340.0|15742.0|8017.0|2581.0|24071|14831|6601|10904760.0|6517188.0|3319038.0|1068534.0|2294335|1814516|869123|208971|57|172|52|30|7852963|6612287|500483|1052640|6.46|47|2.42|156|447|64|21009.0
202404|CNTY_GU|11|45110|28110000|인천|서초구|역삼동|2611000000|인계동|1|20|3|2|8|1109|27|27|304|10405|33895.0|25088.0|6786.0|2021.0|25331|23795|6709|915165.0|677376.0|183222.0|54567.0|1132289|2695643|32592|232178|3|15|7|2|4772979|17852836|2209869|25474|7.5|1|2.13|163|277|400|277.0
202404|CNTY_GU|46|26110|41150000|부산|서초구|서초동|4111000000|역삼1가|2|60|1|2|1|86|318|318|453|66270|45312.0|29371.0|4954.0|10987.0|38675|24975|4943|14409216.0|9339978.0|1575372.0|3493866.0|3738236|1696386|656809|257510|62|131|77|15|5875409|10571968|1916053|1850382|4.12|15|4.22|127|252|274|3780.0
202404|CNTY_GU|46|41150|11110000|인천|서초구|서초동|4111000000|역삼1가|2|60|3|1|4|232|152|152|7|59023|36004.0|15899.0|11510.0|8595.0|32405|13390|8209|5472608.0|2416648.0|1749520.0|1306440.0|1111714|2949004|574143|348728|21|68|20|13|3262377|19641535|4975566|225368|7.79|7|4.77|65|274|285|1918.0
202404|ADM|42|44130|11140000|부산|서초구|인계동|1114000000|인계동|1|55|1|2|3|1377|348|348|907|73754|26828.0|18331.0|7908.0|589.0|26636|17972|6897|9336144.0|6379188.0|2751984.0|204972.0|2533930|848631|957285|58087|96|158|102|20|6217643|934908|3510551|1581293|5.96|31|2.82|11|328|247|10168.0
202404|ADM|45|26110|11110000|인천|성남시|역삼동|4413000000|인계동|2|55|0|2|4|520|193|193|606|33594|32385.0|12508.0|3797.0|16080.0|24616|8789|2680|6250305.0|2414044.0|732821.0|3103440.0|2193935|178000|422576|384081|41|83|41|16|8451819|11505229|550697|1716316|2.94|7|1.28|111|333|166|2331.0
202404|CNTY_GU|45|28110|26110000|대구|성남시|역삼동|1114000000|역삼1가|2|60|1|1|3|123|418|418|37|78625|49968.0|19798.0|14777.0|15393.0|49258|16066|14517|20886624.0|8275564.0|6176786.0|6434274.0|3242324|2665086|710519|276149|100|176|74|41|4424142|10184476|1927685|913533|7.61|13|2.71|34|167|390|2171.0
202404|PRVNC|11|45110|11110000|대구|강남구|서초동|4711000000|인계동|2|40|0|1|6|112|409|409|783|31000|47899.0|31804.0|10626.0|5469.0|47565|28418|9433|19590691.0|13007836.0|4346034.0|2236821.0|504557|2625625|348824|427725|104|196|70|9|7013866|10623753|2400713|1991011|3.24|7|2.32|138|457|379|3199.0
202404|ADM|42|43110|26110000|대구|강남구|서초동|1117000000|서초1동|1|20|1|1|8|216|310|310|731|34874|47737.0|25763.0|13165.0|8809.0|47030|23477|12153|14798470.0|7986530.0|4081150.0|2730790.0|1878436|61516|828327|465134|67|180|72|22|6644912|10688533|1738079|1063124|3.48|26|3.3|49|281|34|7306.0
202404|CNTY_GU|43|11170|11200000|경기|강남구|인계동|4113000000|인계동|1|55|0|1|8|1433|277|277|448|55507|37245.0|23111.0|5704.0|8430.0|34767|21018|5193|10316865.0|6401747.0|1580008.0|2335110.0|1799932|1164520|20407|92070|35|134|82|24|1184086|6244762|3867448|1638275|7.62|26|1.95|145|97|60|2522.0
202404|CNTY_GU|45|11200|47110000|서울|성남시|역삼동|2711000000|인계동|2|25|1|1|8|1265|148|148|695|44880|31012.0|22530.0|10185.0|0.0|24573|22338|9103|4589776.0|3334440.0|1507380.0|0.0|3883225|1813200|17987|491554|39|81|39|0|3944615|15080938|3285185|1864456|6.57|16|3.8|64|180|230|2880.0
202404|ADM|11|26140|41110000|서울|서초구|역삼동|4111000000|인계동|2|55|3|1|6|122|442|442|917|73895|38622.0|11652.0|8322.0|18648.0|32620|9769|6978|17070924.0|5150184.0|3678324.0|8242416.0|2836932|263735|566151|104372|127|201|46|0|3620354|16088970|2254812|1897144|2.9|7|4.85|57|115|426|805.0
202404|ADM|44|11200|11200000|인천|수원시|인계동|1117000000|역삼1가|1|60|3|1|1|488|448|448|956|43587|38458.0|26424.0|14010.0|0.0|27392|22402|10063|17229184.0|11837952.0|6276480.0|0.0|547552|596363|557642|268448|63|211|120|9|5500475|15391221|380197|371267|7.49|2|1.85|84|264|315|528.0
202404|CNTY_GU|46|46110|11140000|대구|강남구|역삼동|4511000000|역삼1가|2|60|0|2|1|429|304|304|527|67412|16055.0|8466.0|3794.0|3795.0|13229|7388|3118|4880720.0|2573664.0|1153376.0|1153680.0|4787368|445662|786245|137503|50|126|84|4|8414197|148814|1658666|916732|5.25|29|2.72|30|123|250|3567.0
202404|CNTY_GU|46|26140|42110000|부산|서초구|서초동|1117000000|서초1동|2|50|0|2|9|710|64|64|298|26782|26380.0|9016.0|8762.0|8602.0|19547|6522|7488|1688320.0|577024.0|560768.0|550528.0|2348799|1686171|173961|455479|11|36|7|2|2295468|9604461|4633917|1281313|7.7|8|3.99|55|264|207|2112.0
202404|ADM|26|11110|45110000|대구|강남구|역삼동|4413000000|서초1동|1|65|1|2|3|108|363|363|796|84192|47642.0|24028.0|12951.0|10663.0|34231|19017|11083|17294046.0|8722164.0|4701213.0|3870669.0|3645866|2358350|908444|367613|47|173|102|32|104431|16630237|18709|450998|6.87|27|2.1|29|291|421|7857.0
202404|CNTY_GU|42|41110|41130000|서울|성남시|서초동|4113000000|인계동|1|65|0|1|1|1624|26|26|786|57955|2574.0|1197.0|884.0|493.0|2330|1172|658|66924.0|31122.0|22984.0|12818.0|4902401|1466017|356050|307022|3|13|7|2|3394484|13225317|4463854|1986610|7.27|1|3.86|156|315|485|315.0
202404|ADM|27|11170|41110000|부산|성남시|역삼동|4113000000|역삼1가|1|35|2|1|7|1815|160|160|19|31277|14323.0|4463.0|3136.0|6724.0|12361|3425|2542|2291680.0|714080.0|501760.0|1075840.0|1517972|1627978|693866|199|20|68|42|1|4894079|16805015|797189|745468|3.26|2|3.14|18|431|353|862.0
