기준년월|구분명|광역시도코드|시군구코드(개정후)|행정구역분류코드(개정후)|광역시도명|시군구명(개정후)|행정구역분류명(개정후)|법정동코드|법정동명|성별|연령구간대|직업 구분|분위코드(연소득기준)|최저 연소득 금액|최대 연소득 금액|거주자수|평균 연소득 금액|중위 연소득 금액|총연소득합계
202401|ADM|27|11170|11200000|부산|수원시|서초동|2614000000|인계동|1|20|1|3|924|27455|74|3075.0|2935|227550
202401|ADM|46|11110|11140000|인천|서초구|서초동|4611000000|인계동|1|50|3|10|154|48077|619|2514.0|2398|1556166
202401|ADM|42|26110|41110000|서울|강남구|역삼동|4113000000|역삼1가|1|55|3|2|317|38840|524|4607.0|3939|2414068
202401|ADM|11|11200|42110000|부산|수원시|서초동|4211000000|서초1동|2|55|2|7|787|34562|352|3898.0|3388|1372096
202401|ADM|46|11140|11200000|부산|강남구|역삼동|4211000000|인계동|1|35|2|6|57|20114|348|5449.0|5217|1896252
202401|CNTY_GU|44|26140|11110000|부산|성남시|서초동|2614000000|역삼1가|2|65|1|2|60|33173|687|3223.0|3096|2214201
202401|PRVNC|11|41110|41110000|인천|성남시|인계동|4115000000|서초1동|2|55|0|7|301|31296|71|6762.0|6360|480102
202401|ADM|45|11200|42110000|경기|강남구|서초동|1120000000|서초1동|2|25|3|2|967|17517|3|1546.0|1461|4638
202401|CNTY_GU|44|26110|26140000|서울|서초구|역삼동|4115000000|인계동|1|45|0|6|839|21689|163|7033.0|6779|1146379
202401|CNTY_GU|44|11110|26110000|서울|강남구|인계동|4211000000|인계동|2|60|0|7|927|46899|78|1208.0|886|94224
202401|PRVNC|46|11110|11170000|경기|서초구|역삼동|4511000000|인계동|1|35|1|1|863|29210|422|6151.0|4845|2595722
202401|CNTY_GU|42|11170|43110000|부산|강남구|인계동|4611000000|역삼1가|2|40|1|3|118|26219|780|3425.0|3400|2671500
202401|CNTY_GU|42|28110|45110000|서울|성남시|인계동|1111000000|서초1동|2|50|1|3|400|40849|589|3683.0|3180|2169287
202401|PRVNC|44|42110|44130000|대구|강남구|서초동|2614000000|인계동|2|25|0|10|529|17015|609|1133.0|853|689997
202401|CNTY_GU|26|44130|41110000|인천|수원시|역삼동|4113000000|서초1동|1|70|0|3|166|14882|574|5914.0|5032|3394636
202401|ADM|26|41150|43110000|경기|수원시|인계동|2614000000|인계동|2|30|0|10|992|49446|629|2158.0|1928|1357382
202401|ADM|46|41150|27110000|대구|강남구|인계동|4115000000|서초1동|1|20|0|6|603|41147|412|5614.0|5324|2312968
202401|ADM|27|46110|11110000|서울|성남시|서초동|4511000000|서초1동|1|20|0|10|852|24040|105|6076.0|5733|637980
202401|ADM|43|26110|27110000|대구|강남구|인계동|2611000000|역삼1가|1|40|2|9|258|47582|672|6916.0|4943|4647552
202401|ADM|27|44130|42110000|경기|성남시|인계동|4611000000|인계동|2|65|0|3|715|21717|361|5956.0|4979|2150116
202401|ADM|27|46110|42110000|경기|수원시|인계동|4511000000|인계동|2|60|0|6|105|35384|401|3110.0|2196|1247110
202401|CNTY_GU|43|41130|47110000|인천|수원시|역삼동|4611000000|인계동|2|65|0|8|22|6573|298|6170.0|5962|1838660
202401|CNTY_GU|46|45110|47110000|대구|성남시|서초동|1114000000|역삼1가|2|45|1|1|640|36392|148|6781.0|5100|1003588
202401|CNTY_GU|42|11170|26110000|경기|서초구|역삼동|2611000000|역삼1가|2|45|3|7|68|13023|741|3220.0|2857|2386020
202401|ADM|26|45110|11110000|대구|서초구|역삼동|1117000000|역삼1가|1|40|0|5|276|15861|625|1869.0|1628|1168125
202401|ADM|27|41130|26110000|경기|강남구|서초동|1117000000|역삼1가|1|20|0|1|794|41413|516|7230.0|6417|3730680
202401|CNTY_GU|26|11200|45110000|경기|성남시|역삼동|1111000000|역삼1가|1|65|2|9|497|14249|323|2035.0|1768|657305
202401|CNTY_GU|46|11140|44130000|부산|서초구|역삼동|2811000000|역삼1가|2|45|0|3|376|26721|658|5156.0|4716|3392648
202401|PRVNC|41|43110|11140000|부산|성남시|인계동|1114000000|인계동|1|45|2|9|290|46428|437|2653.0|2355|1159361
202401|CNTY_GU|41|28110|11170000|경기|서초구|서초동|2614000000|역삼1가|1|45|3|3|668|47969|356|1882.0|1368|669992
202401|CNTY_GU|11|26140|41130000|서울|성남시|서초동|4711000000|서초1동|1|60|1|6|954|24978|362|6434.0|5211|2329108
202401|ADM|42|27110|42110000|경기|성남시|역삼동|4611000000|서초1동|2|35|3|4|739|8774|184|2006.0|1733|369104
202401|ADM|47|47110|47110000|인천|서초구|인계동|4611000000|서초1동|1|55|1|9|358|17911|76|5691.0|4538|432516
202401|ADM|42|28110|43110000|서울|서초구|서초동|1111000000|인계동|1|55|1|10|422|32717|445|5851.0|5430|2603695
202401|CNTY_GU|44|11140|11200000|서울|성남시|서초동|4211000000|역삼1가|1|65|0|8|103|20164|710|1421.0|1130|1008910
202401|PRVNC|26|26110|11110000|대구|강남구|역삼동|4115000000|인계동|2|20|0|9|143|37399|53|2210.0|2096|117130
202401|ADM|26|11170|41150000|서울|강남구|역삼동|1117000000|인계동|2|30|0|8|268|49662|687|6560.0|4880|4506720
202401|CNTY_GU|45|42110|41130000|인천|서초구|역삼동|4611000000|역삼1가|2|45|1|3|386|32953|662|4551.0|4236|3012762
202401|ADM|11|44130|46110000|부산|수원시|역삼동|2711000000|인계동|1|65|1|10|990|33117|223|1849.0|1396|412327
202401|ADM|42|45110|41130000|경기|강남구|인계동|4711000000|서초1동|1|70|0|6|871|28844|506|7942.0|6817|4018652
202401|ADM|41|41150|41110000|인천|서초구|서초동|1114000000|인계동|2|50|1|4|113|13392|134|2854.0|2272|382436
202401|ADM|11|44130|26140000|서울|성남시|서초동|4211000000|역삼1가|1|30|0|2|331|31023|607|1028.0|916|623996
202401|PRVNC|43|28110|11140000|부산|강남구|인계동|1117000000|역삼1가|1|30|0|8|56|46934|561|7469.0|5704|4190109
202401|ADM|47|41150|45110000|부산|강남구|인계동|4711000000|서초1동|1|50|0|3|62|36029|285|1116.0|1047|318060
202401|CNTY_GU|11|11140|45110000|대구|서초구|역삼동|4115000000|인계동|2|30|2|7|374|38851|57|4873.0|4249|277761
202401|CNTY_GU|46|41130|11170000|대구|강남구|서초동|1114000000|역삼1가|2|50|1|1|959|43846|776|7951.0|7849|6169976
202401|ADM|43|41130|42110000|경기|강남구|서초동|1120000000|인계동|1|60|2|7|185|22436|358|5044.0|4607|1805752
202401|ADM|45|11110|27110000|서울|강남구|역삼동|2711000000|인계동|2|40|0|7|680|20135|714|5092.0|4492|3635688
