기준년월|광역시도코드|시군구코드|시군구명|업종코드|업종명|평균단가|거래건수|평균매출금액|전월대비변화율|전년동월대비변화율
202501|47|28110|수원시|FF0101|한식|19197|2227|489158|0.0673|-0.0768
202501|44|42110|성남시|GG0101|일식|24788|4979|1724807|-0.0382|0.3275
202501|41|11140|강남구|GG0201|중식|6567|4887|6127920|0.2216|0.2607
202501|43|26110|서초구|FF0101|일식|29478|3203|1507679|-0.0979|0.0338
202501|27|45110|성남시|GG0101|한식|23427|299|7214989|0.1639|-0.2724
202501|41|11170|성남시|FF0101|카페|24169|1187|3433243|0.114|0.1026
202501|41|42110|성남시|GG0101|중식|27271|4587|4257836|-0.1181|0.2657
202501|46|11170|서초구|GG0101|일식|25317|3387|2507706|-0.1286|0.1411
202501|26|11110|부산진구|GG0201|일식|27429|204|9705683|-0.0671|-0.261
202501|41|26140|부산진구|GG0101|일식|13589|1710|5433551|0.1528|-0.2326
202501|45|45110|서초구|GG0101|중식|8934|425|7016015|-0.0605|-0.1001
202501|46|11200|서초구|LL0101|중식|22599|2692|7067014|-0.0367|0.0013
202501|11|11170|수원시|FF0101|일식|7272|4945|2236379|0.2348|-0.2335
202501|44|11200|서초구|GG0101|중식|6095|4687|9173124|0.2025|0.0354
202501|26|11140|부산진구|FF0101|한식|5200|1016|3365775|0.2005|-0.1549
202501|27|47110|수원시|LL0101|중식|17556|4407|6565783|-0.0481|-0.0834
202501|11|11200|성남시|LL0101|한식|21632|845|7061293|-0.1522|0.2919
202501|42|46110|성남시|LL0101|중식|11624|331|2876316|-0.0708|-0.0401
202501|42|41110|성남시|LL0101|일식|28272|1579|7586100|-0.0179|0.2842
202501|11|46110|성남시|GG0201|카페|13179|4323|2409733|0.289|0.0712
202501|45|27110|강남구|GG0201|카페|27041|1949|6742449|-0.1513|-0.0208
202501|45|28110|강남구|FF0101|중식|22560|4976|8216947|0.0158|-0.2055
202501|43|44130|성남시|FF0101|중식|29233|4115|1866897|0.1623|0.1527
202501|26|26140|서초구|GG0101|한식|7696|2958|9207059|-0.1706|-0.0391
202501|42|26110|서초구|GG0201|일식|6096|656|1244597|0.0494|0.1127
202501|41|41110|서초구|FF0101|한식|5548|4729|8868746|0.2157|-0.1949
202501|43|44130|부산진구|GG0201|카페|22320|377|8784442|0.2853|-0.1836
202501|26|11200|수원시|GG0101|한식|13814|4070|8018735|0.1126|-0.2849
202501|42|26140|부산진구|FF0101|한식|22005|1196|3826977|0.2683|0.2097
202501|11|11140|강남구|LL0101|일식|5937|4981|9661316|0.2256|-0.1793
202501|27|43110|강남구|GG0101|카페|11840|3130|6079576|-0.1019|-0.1515
202501|42|28110|부산진구|FF0101|한식|20745|2188|2514751|0.1734|-0.1247
202501|27|26110|부산진구|GG0201|카페|11288|4906|3352869|-0.1483|-0.2279
202501|47|46110|수원시|FF0101|카페|23900|3081|842680|-0.1791|0.1051
202501|42|11170|부산진구|GG0101|일식|26893|4557|3689765|0.0056|0.1411
202501|43|44130|수원시|GG0101|중식|8739|1153|6634680|0.089|-0.2016
202501|43|11200|수원시|GG0201|중식|29569|3197|5231067|-0.0462|0.3028
202501|44|44130|수원시|LL0101|한식|22459|845|1606010|-0.0157|0.2096
202501|43|46110|강남구|FF0101|카페|27734|1148|3222786|-0.1778|0.3106
202501|11|41130|부산진구|FF0101|중식|18258|4340|9108623|0.0635|0.2657
202501|11|28110|강남구|FF0101|카페|18393|287|2361010|0.1097|0.3168
202501|43|26110|강남구|LL0101|중식|8127|3437|1737925|-0.0824|0.01
202501|27|26110|강남구|GG0201|중식|9383|4313|613970|0.2573|0.2936
202501|45|43110|서초구|GG0101|카페|18780|680|6374730|0.1588|-0.0567
202501|42|11110|서초구|FF0101|중식|22937|600|3949277|0.0749|-0.2778
202501|47|28110|강남구|FF0101|카페|26477|2385|8672071|0.0348|-0.2066
202501|45|11110|강남구|LL0101|카페|19650|2092|9312455|0.0337|-0.0542
202501|43|47110|수원시|GG0201|한식|10549|3191|5711381|0.2746|0.2764
202501|45|41110|강남구|GG0201|카페|27780|234|4055181|0.2553|-0.1451
202501|26|26110|서초구|GG0201|카페|15817|510|9978330|0.2239|0.183
202501|45|26140|수원시|FF0101|한식|10258|4356|7138192|-0.0008|0.2448
202501|45|45110|수원시|FF0101|카페|24940|3768|8386548|0.2374|-0.0118
