기준연월|고객행정구역분류시도코드|고객행정구역분류시군구코드|고객행정구역분류코드|고객법정동코드|고객행정구역분류시도명|고객행정구역분류시군구명|고객행정구역분류명|고객법정동명|통합카드아파트단지코드|통합카드아파트단지명|연평균소득금액|통합카드성별코드|통합카드10세단위연령코드|영화관심비율|건강관심비율|게임관심비율|골프관심비율|독서관심비율|레저관심비율|뷰티관심비율|쇼핑관심비율|애완동물관심비율|여행관심비율|예술관심비율|온라인쇼핑관심비율|육아관심비율|식도락관심비율|자동차관심비율
202411|44|41130|47110000|2614000000|서울|성남시|인계동|서초1동|NH1277|힐스테이트|9977|1|4|0.055|0.03|0.035|0.007|0.015|0.123|0.029|0.024|0.019|0.057|0.145|0.095|0.198|0.126|0.042
202411|46|41150|27110000|2811000000|부산|수원시|역삼동|역삼1동|NH9641|푸르지오|10354|1|3|0.128|0.256|0.041|0.104|0.088|0.043|0.055|0.048|0.038|0.022|0.095|0.053|0.014|0.01|0.004
202411|44|42110|11200000|4413000000|경기|서초구|역삼동|역삼1동|NH5569|래미안|4318|1|4|0.096|0.048|0.007|0.051|0.169|0.063|0.023|0.021|0.081|0.127|0.101|0.037|0.096|0.038|0.042
202411|46|28110|45110000|2711000000|인천|성남시|인계동|서초1동|NH2160|자이|7665|1|5|0.051|0.128|0.092|0.073|0.016|0.053|0.084|0.052|0.061|0.018|0.067|0.008|0.209|0.023|0.065
202411|43|11200|41110000|1111000000|경기|강남구|인계동|역삼1동|NH3638|힐스테이트|11940|1|3|0.015|0.064|0.16|0.222|0.119|0.014|0.003|0.045|0.005|0.178|0.017|0.012|0.103|0.005|0.038
202411|46|26110|47110000|2611000000|인천|성남시|역삼동|역삼1동|NH8830|자이|9611|1|6|0.028|0.017|0.016|0.104|0.005|0.016|0.001|0.021|0.127|0.12|0.033|0.007|0.126|0.279|0.101
202411|46|11140|27110000|1117000000|경기|수원시|인계동|서초1동|NH4490|푸르지오|9795|2|5|0.227|0.013|0.132|0.04|0.032|0.03|0.027|0.067|0.002|0.132|0.079|0.046|0.006|0.019|0.149
202411|42|11200|41150000|2611000000|인천|수원시|서초동|역삼1동|NH1603|래미안|13834|2|5|0.065|0.127|0.041|0.01|0.052|0.048|0.101|0.031|0.001|0.114|0.125|0.025|0.001|0.213|0.047
202411|47|11110|11140000|4211000000|부산|서초구|서초동|서초1동|NH9003|자이|9000|2|6|0.188|0.047|0.033|0.063|0.039|0.112|0.159|0.008|0.024|0.01|0.084|0.101|0.073|0.055|0.003
202411|43|11110|41130000|2614000000|인천|수원시|인계동|서초1동|NH7673|래미안|9776|1|5|0.111|0.249|0.009|0.062|0.002|0.054|0.122|0.085|0.001|0.048|0.024|0.026|0.074|0.116|0.017
