"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구원수","노인가구여부","가구주_만연령","입주형태코드","주택종류통합코드","자산","자산_금융자산","자산_실물자산","자산_실물자산_부동산_거주주택금액","부채","부채_금융부채_담보대출금액","순자산","경상소득(보완)","경상소득_공적이전소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","지출_소비지출비","지출_소비지출_식료품(외식비포함)","지출_소비지출_의료비","지출_비소비지출(보완)","지출_비소비지출_세금(보완)","지출_비소비지출_공적연금사회보험료(보완)","지출_비소비지출_연간지급이자(조사2)","가구주_은퇴여부","가구주_미은퇴_최소생활비","가구주_미은퇴_적정생활비","가구주_은퇴_적정생활비충당여부"
2023,010000162,1077.906572079,G1,1,G1,76,2,G1,5700,5700,0,0,0,0,5700,1655,1161,1534,1175,360,500,121,1,0,0,1,100,200,
2023,010000182,1086.43854121,G1,2,G2,61,2,G4,13720,13220,500,0,0,0,13720,2995,27,2570,2790,2000,100,425,56,369,0,1,200,200,
2023,010000192,3626.894381884,G1,1,G2,30,3,G3,1410,1410,0,0,0,0,1410,3001,0,2892,1210,200,10,109,61,38,10,1,300,400,
2023,010000212,758.167174481,G2,1,G1,73,1,G1,16800,10300,6500,6500,300,0,16500,1871,764,1844,1222,600,80,27,27,0,0,1,150,200,
2023,010000222,1404.353474859,G2,1,G2,55,1,G3,17000,11000,6000,6000,9000,3000,8000,3603,0,2989,1466,600,20,614,134,302,178,1,200,200,
2023,010000262,928.191686649,G2,2,G1,69,1,G2,74588,8088,66500,47000,0,0,74588,3015,1885,2851,2199,1200,270,164,84,0,0,2,0,0,4
2023,010000272,1543.021408898,G2,4,G2,59,1,G2,42610,11560,31050,29000,50,0,42560,13929,20,11687,4520,1200,300,2242,1347,565,0,1,300,400,
2023,010000282,2233.473799199,G2,5,G2,62,1,G2,142140,11640,130500,29000,76270,74070,65870,12335,125,7685,5110,1200,800,4650,579,988,2910,1,150,250,
2023,010000312,2648.07126064,G1,5,G2,53,1,G2,96250,18450,77800,67000,0,0,96250,12005,0,10659,4810,2400,50,1346,388,958,0,1,200,300,
2023,010000332,4854.753233569,G1,2,G2,30,1,G3,29980,3080,26900,25000,15800,13300,14180,11134,111,8386,2470,1200,200,2748,1004,744,1000,1,400,700,
2023,010000352,1762.150855624,G1,1,G1,68,1,G2,32050,3950,28100,28000,0,0,32050,645,645,578,1362,720,120,67,17,0,0,1,200,300,
2023,010000362,1902.300680267,G1,2,G1,85,5,G2,6300,6300,0,0,0,0,6300,1678,368,1576,1700,840,200,102,2,0,0,2,0,0,4
2023,010100112,1794.00877859,G1,4,G2,49,1,G3,95200,37200,58000,58000,0,0,95200,9124,0,7502,4870,1500,800,1622,189,733,0,1,300,450,
2023,010100182,680.142787131,G1,1,G1,71,1,G2,104070,5070,99000,95000,0,0,104070,1568,369,1447,873,500,5,121,91,0,0,1,200,300,
2023,010100192,3362.339957038,G1,3,G2,32,3,G1,54800,8100,46700,0,17000,10000,37800,13117,0,10339,5170,1200,1000,2778,832,1496,450,1,300,300,
2023,010100232,794.75586345,G2,1,G2,64,3,G1,330,330,0,0,0,0,330,1003,1003,1003,985,360,5,0,0,0,0,2,0,0,5
2023,010100242,1554.746368291,G2,3,G2,59,1,G2,66686,1736,64950,17000,20760,15000,45926,7947,0,7043,2865,1100,200,904,31,333,540,1,200,250,
