조사연도,MD제공용_가구고유번호,가중값,수도권여부,가구원수,노인가구여부,가구주_만연령,입주형태코드,주택종류통합코드,자산,자산_금융자산,자산_실물자산,자산_실물자산_부동산_거주주택금액,부채,부채_금융부채_담보대출금액,순자산,경상소득(보완),경상소득_공적이전소득(보완),처분가능소득(보완)[경상소득(보완)-비소비지출(보완)],지출_소비지출비,지출_소비지출_식료품(외식비포함),지출_소비지출_의료비,지출_비소비지출(보완),지출_비소비지출_세금(보완),지출_비소비지출_공적연금사회보험료(보완),지출_비소비지출_연간지급이자(조사2),가구주_은퇴여부,가구주_미은퇴_최소생활비,가구주_미은퇴_적정생활비,가구주_은퇴_적정생활비충당여부
2024,HH2024000000,129.242,G2,5,G2,77,3,G2,54567.0,4380.0,51341.0,49740.0,4743.0,3435,49824.0,1087.0,721.0,0.0,2885.0,708,284,2346,485,484,167,2,106.0,364,3
2024,HH2024000001,148.8212,G2,3,G2,49,1,G4,28420.0,3939.0,22274.0,21247.0,7426.0,6187,20994.0,5421.0,78.0,5019.0,3025.0,716,220,2213,447,276,218,1,135.0,372,3
2024,HH2024000002,260.5651,G1,5,G1,66,2,G3,137420.0,1780.0,137026.0,135102.0,23129.0,14948,114291.0,5907.0,775.0,5141.0,2160.0,435,427,1073,268,171,131,1,120.0,265,2
2024,HH2024000003,71.5224,G2,1,G2,63,2,G1,110341.0,18421.0,90792.0,90627.0,16244.0,9959,94097.0,2491.0,893.0,2116.0,1078.0,220,91,589,148,133,112,1,144.0,316,5
2024,HH2024000004,123.6691,G2,2,G2,40,1,G2,129674.0,9427.0,116394.0,115884.0,29575.0,18589,100099.0,1700.0,905.0,752.0,312.0,87,45,1899,315,457,125,1,197.0,435,4
2024,HH2024000005,182.889,G2,2,G2,75,1,G3,69903.0,22825.0,43349.0,42238.0,32171.0,21529,37732.0,6241.0,301.0,5590.0,1262.0,389,71,1106,188,164,186,2,223.0,413,4
2024,HH2024000006,257.226,G2,5,G1,67,1,G2,132901.0,22809.0,108700.0,107716.0,22344.0,11799,110557.0,1785.0,1618.0,1427.0,2174.0,686,130,1501,155,188,237,2,280.0,376,4
2024,HH2024000007,191.1542,G2,3,G2,42,2,G2,56963.0,5931.0,49868.0,49577.0,4185.0,2490,52778.0,1425.0,978.0,310.0,466.0,135,73,2279,279,235,218,1,275.0,363,4
2024,HH2024000008,172.4447,G1,1,G1,75,4,G3,89686.0,20825.0,68801.0,,146.0,110,89540.0,2723.0,878.0,1321.0,216.0,63,31,2742,418,326,455,1,116.0,310,4
2024,HH2024000009,290.5294,G2,4,G2,67,1,G3,121918.0,22935.0,98489.0,97773.0,9138.0,6296,112780.0,7732.0,1727.0,7690.0,867.0,303,131,1835,464,413,249,1,185.0,387,2
2024,HH2024000010,79.1026,G1,1,G2,81,1,G3,179651.0,29611.0,148527.0,147174.0,11292.0,6763,168359.0,3701.0,972.0,2850.0,282.0,72,23,2819,731,474,213,2,273.0,205,3
2024,HH2024000011,245.0165,G1,3,G1,79,1,G3,107514.0,21680.0,84644.0,83729.0,2946.0,2569,104568.0,2101.0,1784.0,1024.0,56.0,13,11,1172,175,168,108,2,133.0,221,1
2024,HH2024000012,81.7587,G1,5,G1,49,2,G1,117588.0,10786.0,107681.0,106510.0,31143.0,19253,86445.0,4109.0,444.0,3030.0,1941.0,719,259,2282,625,493,226,2,233.0,434,2
2024,HH2024000013,233.2069,G1,3,G1,86,1,G2,122245.0,29991.0,91012.0,89204.0,14683.0,8101,107562.0,2787.0,1701.0,2457.0,2980.0,1006,582,2949,516,645,290,2,185.0,252,2
2024,HH2024000014,185.7724,G1,3,G1,32,3,G3,75036.0,8275.0,64194.0,63543.0,29701.0,17218,45335.0,5316.0,1976.0,5145.0,1999.0,590,149,1039,269,160,168,2,133.0,415,2
